PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NH0067020,CAMP BROOKWOOD,TNCWS,34 CAMP BROOKWOODS RD,,03809,ALTON,01,NH,400,CHRISTIAN CAMPS AND CONFERENCES INC,NH,Belknap
NH0067040,CAMP KABEYUN,TNCWS,PO BOX 325,,03810,ALTON BAY,01,NH,160,KABEYUN INC,NH,Belknap
NH0067060,CAMP MI TE NA,TNCWS,117 MARKET ST,,03101,MANCHESTER,01,NH,220,MANCHESTER YMCA,NH,Belknap
NH0067070,ALTON SHORES DEVELOPMENT/NORTH,TNCWS,PO BOX 90,,03810,ALTON BAY,01,NH,83,ALTON SHORES ASSN,NH,Belknap
NH0067080,CAMP BROOKWOOD/DEER RUN,TNCWS,34 CAMP BROOKWOODS RD,,03809,ALTON,01,NH,200,CHRISTIAN CAMPS AND CONFERENCES INC,NH,Belknap
NH0067110,SPRINGHAVEN VILLAGE,TNCWS,51 GREENTREE LN,,02151,REVERE,01,NH,78,BLOMERTH AND BLOMERTH LLC,MA,Belknap
NH0067130,ROBERTS COVE BASIN,TNCWS,87 HACKETT RD,,03220,BELMONT,01,NH,25,ROBERTS COVE INC,NH,Belknap
NH0067150,ROBERTS KNOLL CAMPGROUND,TNCWS,76 GILMANS CORNER RD,,03809,ALTON,01,NH,183,ROBERTS KNOLL CAMPGROUND,NH,Belknap
NH0067160,ALTON SHORES/NUTTER DR PH3,TNCWS,PO BOX 90,,03810,ALTON BAY,01,NH,50,ALTON SHORES ASSN,NH,Belknap
NH0067170,KROON FAMILY CAMPGROUND,TNCWS,23 ROGER ST,,03810,ALTON,01,NH,34,KROON FAMILY 2011 IRREVOCABLE TRUST,NH,Belknap
NH0067180,HALF MOON COTTAGE COLONY,TNCWS,105 FORT POINT RD,,03810,ALTON BAY,01,NH,33,HALF MOON COTTAGE COLONY ASSOCIATION,NH,Belknap
NH0068010,BAYSIDE INN,TNCWS,RTE 11D,,03810,ALTON BAY,01,NH,60,BAYSIDE INN INC,NH,Belknap
NH0068040,GREEN TOPS CAMPGROUND,TNCWS,225 ROBERT COVE RD,,03809,ALTON,01,NH,33,,NH,Belknap
NH0068050,WISE OWL REST CNTRY STRE/DELI,TNCWS,72 HERMIT RD,,03810,ALTON,01,NH,63,72 HERMIT ROAD LLC,NH,Belknap
NH0069030,DOLLAR GENERAL STORE 17058,TNCWS,100 MISSION RIDGE,,37072,GOODLETTSVILLE,01,NH,100,DOLLAR GENERAL STORE CORP,TN,Belknap
NH0072070,SOUHEGAN WOODS,CWS,PO BOX 1947,,03054,MERRIMACK,01,NH,290,PENNICHUCK WATER WORKS INC,NH,Hillsborough
