PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
VT0000254,BARN RESTAURANT TAVERN,TNCWS,,1363 DANBY-PAWLET RD,05761,PAWLET,01,VT,85,"MCCHESNEY, MARK P",VT,Rutland
VT0000258,PAWLET STATION RESTAURANT,TNCWS,ABTEC INC,PO BOX 172,05250,ARLINGTON,01,VT,39,"NAAKTGEBOREN, DAVID T",VT,Rutland
VT0000268,BREWSTER RIVER PUB,TNCWS,,4087 VT RT 108 S,05464,JEFFERSONVILLE,01,VT,103,"MOSSINGHOFF, WILLIAM C",VT,Lamoille
VT0000272,SKYESHIP BASE LODGE,TNCWS,C/O KPSRP LLC,4763 KILLINGTON RD,05751,KILLINGTON,01,VT,177,"SMITH, KIM D.",VT,Rutland
VT0000282,COOPER HILL INN,TNCWS,,PO BOX 146,05341,E DOVER,01,VT,34,"WHEELER, CHARLES A",VT,Windham
VT0000319,ST ANNES SHRINE,TNCWS,ST ANNES SHRINE,PO BOX 280,05463,ISLE LA MOTTE,01,VT,294,"SMITH, CHRISTOPHER E",VT,Grand Isle
VT0000322,VERMONT COUNTRY STORE WESTON,TNCWS,,1292 ROCKINGHAM RD,05101,BELLOWS FALLS,01,VT,49,"COOPER, DEANE",VT,Windsor
VT0000341,MOUNT SNOW SUMMIT LODGE,TNCWS,,PO BOX 2805,05356,WEST DOVER,01,VT,212,"MOULTON, DAVID",VT,Windham
VT0000372,WHEEL INN RESTAURANT,TNCWS,,130 LAKE ROAD,05732,BANSON,01,VT,35,"KNAPP, KATHLEEN L",VT,Rutland
VT0000402,CHALET KILLINGTON,TNCWS,,PO BOX 153,05751,KILLINGTON,01,VT,205,"GOUCHBERG, MATTHEW",VT,Rutland
VT0000408,CATTAILS RESTAURANT INC,TNCWS,,PO BOX 13,05733,BRANDON,01,VT,80,"CHICOINE, LANCE",VT,Rutland
VT0000410,SWISS FARM LODGE,TNCWS,,PO BOX 510,05762,PITTSFIELD,01,VT,93,"STEVENS, JOYCE M",VT,Rutland
VT0000447,TENDERLOINS CLUB HOUSE,TNCWS,,5 VILLAGE LODGE RD,05155,STRATTON MOUNTAIN,01,VT,100,"MOYNA, PAT",VT,Bennington
